study,island.atoll,location,latitude,longitude,depth.ft,depth.m
PMNM-Kealoha,PHR,2NW4-FISH,27.92573,-175.88321,44,13.4112
PMNM-Kealoha,PHR,2W1,27.81252,-175.99557,33,10.0584
PMNM-Kealoha,PHR,3NW1,27.8513,-175.98529,56,17.0688
PMNM-Kealoha,PHR,5NW2,27.8791,-175.96101,66,20.1168
PMNM-Kealoha,PHR,6NW3,27.91011,-175.90331,27,8.2296
PMNM-Kealoha,PHR,B2,27.95783,-175.80217,6,1.8288
PMNM-Kealoha,PHR,Chinchilla Pt,27.81233,-175.96815,39,11.8872
PMNM-Kealoha,PHR,D8.1a,27.79013,-175.99586,8,2.4384
PMNM-Kealoha,PHR,F10,27.75313,-175.9492,52,15.8496
PMNM-Kealoha,PHR,F11,27.79057,-176.00024,40,12.192
PMNM-Kealoha,PHR,F12,27.81855,-175.98792,21,6.4008
PMNM-Kealoha,PHR,F4,27.9638,-175.77411,37,11.2776
PMNM-Kealoha,PHR,F6,27.94109,-175.86124,36,10.9728
